id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name
146247929,2023/01/09 11:00 AM,2023-01-09,2023-01-09 19:00:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146247936,2023/01/09 1:46 PM,2023-01-09,2023-01-09 21:46:00 +0000,Salpinctes obsoletus,Rock Wren
146247943,2023/01/09 5:20 PM,2023-01-09,2023-01-10 01:20:00 +0000,Baeolophus inornatus,Oak Titmouse
146247945,2023/01/09 5:46 PM,2023-01-09,2023-01-10 01:46:00 +0000,Junco hyemalis,Dark-eyed Junco
146247946,2023/01/09 5:47 PM,2023-01-09,2023-01-10 01:47:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146247947,2023/01/09 5:48 PM,2023-01-09,2023-01-10 01:48:00 +0000,Pipilo maculatus,Spotted Towhee
146307041,2023/01/10 12:23 PM,2023-01-10,2023-01-10 20:23:00 +0000,Calypte anna,Anna's Hummingbird
146307042,2023/01/10 12:24 PM,2023-01-10,2023-01-10 20:24:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146307043,2023/01/10 12:48 PM,2023-01-10,2023-01-10 20:48:00 +0000,Salpinctes obsoletus,Rock Wren
146307044,2023/01/10 12:59 PM,2023-01-10,2023-01-10 20:59:00 +0000,Haemorhous mexicanus,House Finch
146307045,2023/01/10 1:17 PM,2023-01-10,2023-01-10 21:17:00 +0000,Phainopepla nitens,Phainopepla
146307046,2023/01/10 1:19 PM,2023-01-10,2023-01-10 21:19:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
146307047,2023/01/10 1:56 PM,2023-01-10,2023-01-10 21:56:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146307048,2023/01/10 2:01 PM,2023-01-10,2023-01-10 22:01:00 +0000,Amphispiza bilineata,Black-throated Sparrow
146307050,2023/01/10 2:58 PM,2023-01-10,2023-01-10 22:58:00 +0000,Corthylio calendula,Ruby-crowned Kinglet
146353818,2023-01-11 11:49:35-08:00,2023-01-11,2023-01-11 19:49:35 +0000,Phainopepla nitens,Phainopepla
146365627,2023/01/11 12:36 PM,2023-01-11,2023-01-11 20:36:00 +0000,Phainopepla nitens,Phainopepla
146365628,2023/01/11 12:46 PM,2023-01-11,2023-01-11 20:46:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
146365629,2023/01/11 2:38 PM,2023-01-11,2023-01-11 22:38:00 +0000,Salpinctes obsoletus,Rock Wren
146365920,2023/01/11 10:55 AM,2023-01-11,2023-01-11 18:55:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146379974,2023/01/11 8:27 PM,2023-01-11,2023-01-12 04:27:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146379975,2023/01/11 8:30 PM,2023-01-11,2023-01-12 04:30:00 +0000,Mimus polyglottos,Northern Mockingbird
146379976,2023/01/11 8:36 PM,2023-01-11,2023-01-12 04:36:00 +0000,Turdus migratorius,American Robin
146379978,2023/01/11 8:43 PM,2023-01-11,2023-01-12 04:43:00 +0000,Polioptila caerulea,Blue-gray Gnatcatcher
146379979,2023/01/11 8:47 PM,2023-01-11,2023-01-12 04:47:00 +0000,Astur cooperii,Cooper's Hawk
146411689,2023-01-12 09:43:11-08:00,2023-01-12,2023-01-12 17:43:11 +0000,Haemorhous mexicanus,House Finch
146438603,2023/01/12 11:24 AM,2023-01-12,2023-01-12 19:24:00 +0000,Sialia currucoides,Mountain Bluebird
146438604,2023/01/12 11:29 AM,2023-01-12,2023-01-12 19:29:00 +0000,Eremophila alpestris,Horned Lark
146438605,2023/01/12 11:31 AM,2023-01-12,2023-01-12 19:31:00 +0000,Eremophila alpestris,Horned Lark
146438607,2023/01/12 11:38 AM,2023-01-12,2023-01-12 19:38:00 +0000,Corvus corax,Common Raven
146438608,2023/01/12 12:13 PM,2023-01-12,2023-01-12 20:13:00 +0000,Lanius ludovicianus,Loggerhead Shrike
146438611,2023/01/12 12:36 PM,2023-01-12,2023-01-12 20:36:00 +0000,Spizella breweri,Brewer's Sparrow
146438612,2023/01/12 12:53 PM,2023-01-12,2023-01-12 20:53:00 +0000,Toxostoma lecontei,LeConte's Thrasher
146438614,2023/01/12 1:21 PM,2023-01-12,2023-01-12 21:21:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146438620,2023/01/12 2:09 PM,2023-01-12,2023-01-12 22:09:00 +0000,Sialia currucoides,Mountain Bluebird
146438621,2023/01/12 2:16 PM,2023-01-12,2023-01-12 22:16:00 +0000,Sialia currucoides,Mountain Bluebird
146438623,2023/01/12 2:58 PM,2023-01-12,2023-01-12 22:58:00 +0000,Artemisiospiza nevadensis,Sagebrush Sparrow
146438624,2023/01/12 3:11 PM,2023-01-12,2023-01-12 23:11:00 +0000,Buteo jamaicensis calurus,Western Red-tailed Hawk
146438625,2023/01/12 7:38 PM,2023-01-12,2023-01-13 03:38:00 +0000,Salpinctes obsoletus,Rock Wren
146438626,2023/01/12 7:45 PM,2023-01-12,2023-01-13 03:45:00 +0000,Amphispiza bilineata,Black-throated Sparrow
146463505,2023-01-12 15:50:00-08:00,2023-01-12,2023-01-12 23:50:00 +0000,Lanius ludovicianus,Loggerhead Shrike
146502695,2023-01-13 09:49:00-08:00,2023-01-13,2023-01-13 17:49:00 +0000,Phainopepla nitens,Phainopepla
146502744,2023-01-13 09:50:00-08:00,2023-01-13,2023-01-13 17:50:00 +0000,Mimus polyglottos,Northern Mockingbird
146502791,2023-01-13 09:51:00-08:00,2023-01-13,2023-01-13 17:51:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146502821,2023-01-13 09:52:00-08:00,2023-01-13,2023-01-13 17:52:00 +0000,Haemorhous mexicanus,House Finch
146509267,2023-01-03 08:20:03,2023-01-03,2023-01-03 16:20:03 +0000,Salpinctes obsoletus,Rock Wren
146538048,2023-01-13 08:50:00-07:00,2023-01-13,2023-01-13 15:50:00 +0000,Phainopepla nitens,Phainopepla
146541715,2023/01/06 12:38 PM,2023-01-06,2023-01-06 20:38:00 +0000,Corvus corax,Common Raven
146541728,2023/01/06 12:57 PM,2023-01-06,2023-01-06 20:57:00 +0000,Sialia currucoides,Mountain Bluebird
146541757,2023/01/06 1:38 PM,2023-01-06,2023-01-06 21:38:00 +0000,Corvus corax,Common Raven
146541761,2023/01/06 1:48 PM,2023-01-06,2023-01-06 21:48:00 +0000,Corvus corax,Common Raven
146541763,2023/01/06 1:57 PM,2023-01-06,2023-01-06 21:57:00 +0000,Corvus corax,Common Raven
146557777,2023-01-09 02:50:57,2023-01-09,2023-01-09 10:50:57 +0000,Baeolophus inornatus,Oak Titmouse
146557783,2023-01-09 17:26:17,2023-01-09,2023-01-10 01:26:17 +0000,Aphelocoma californica,California Scrub-Jay
146557789,2023-01-09 18:11:23,2023-01-09,2023-01-10 02:11:23 +0000,Callipepla gambelii,Gambel's Quail
146557795,2023-01-09 18:22:54,2023-01-09,2023-01-10 02:22:54 +0000,Aphelocoma californica,California Scrub-Jay
146557799,2023-01-09 18:24:14,2023-01-09,2023-01-10 02:24:14 +0000,Buteo jamaicensis,Red-tailed Hawk
146557807,2023-01-09 18:36:57,2023-01-09,2023-01-10 02:36:57 +0000,Corvus corax sinuatus,Southwestern Common Raven
146557817,2023-01-09 21:45:18,2023-01-09,2023-01-10 05:45:18 +0000,Turdus migratorius,American Robin
146557835,2023-01-09 21:45:39,2023-01-09,2023-01-10 05:45:39 +0000,Zonotrichia leucophrys,White-crowned Sparrow
146557847,2023-01-09 22:18:41,2023-01-09,2023-01-10 06:18:41 +0000,Salpinctes obsoletus,Rock Wren
146557849,2023-01-09 22:34:03,2023-01-09,2023-01-10 06:34:03 +0000,Lanius ludovicianus,Loggerhead Shrike
146558200,2023-01-10 22:53:03,2023-01-10,2023-01-11 06:53:03 +0000,Sialia currucoides,Mountain Bluebird
146558979,2023-01-09 23:54:33,2023-01-09,2023-01-10 07:54:33 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146559017,2023-01-10 20:41:46,2023-01-10,2023-01-11 04:41:46 +0000,Junco hyemalis,Dark-eyed Junco
146559795,2023-01-11 17:12:04,2023-01-11,2023-01-12 01:12:04 +0000,Streptopelia decaocto,Eurasian Collared-Dove
146559981,2023-01-11 17:22:23,2023-01-11,2023-01-12 01:22:23 +0000,Phainopepla nitens,Phainopepla
146624576,2023/01/09 12:04 PM,2023-01-09,2023-01-09 20:04:00 +0000,Phainopepla nitens,Phainopepla
146653152,2023-01-15 11:53:57-08:00,2023-01-15,2023-01-15 19:53:57 +0000,Aphelocoma californica,California Scrub-Jay
146655053,2022-03-06 12:16:49-06:00,2022-03-06,2022-03-06 18:16:49 +0000,Calypte costae,Costa's Hummingbird
146655865,2022-03-06 11:51:19-06:00,2022-03-06,2022-03-06 17:51:19 +0000,Polioptila melanura,Black-tailed Gnatcatcher
146656204,2022-03-06 10:35:54-06:00,2022-03-06,2022-03-06 16:35:54 +0000,Phainopepla nitens,Phainopepla
146704104,2023-01-15 08:04:55,2023-01-15,2023-01-15 16:04:55 +0000,Phainopepla nitens,Phainopepla
146731727,2022-03-06 16:42:43-06:00,2022-03-06,2022-03-06 22:42:43 +0000,Lanius ludovicianus,Loggerhead Shrike
146731776,2022-03-06 11:03:01-06:00,2022-03-06,2022-03-06 17:03:01 +0000,Oreoscoptes montanus,Sage Thrasher
146731794,2022-03-12 17:06:31-06:00,2022-03-12,2022-03-12 23:06:31 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146731821,2022-03-06 11:17:37-06:00,2022-03-06,2022-03-06 17:17:37 +0000,Auriparus flaviceps,Verdin
146731842,2022-03-06 11:42:57-06:00,2022-03-06,2022-03-06 17:42:57 +0000,Amphispiza bilineata,Black-throated Sparrow
146731914,2022-03-07 12:30:36-06:00,2022-03-07,2022-03-07 18:30:36 +0000,Toxostoma redivivum,California Thrasher
146733930,2022-03-06 11:23:41-06:00,2022-03-06,2022-03-06 17:23:41 +0000,Mimus polyglottos,Northern Mockingbird
146812016,2023-01-04 07:23:50,2023-01-04,2023-01-04 15:23:50 +0000,Amphispiza bilineata,Black-throated Sparrow
146812169,2023-01-04 11:10:56,2023-01-04,2023-01-04 19:10:56 +0000,Aphelocoma californica,California Scrub-Jay
146812223,2023-01-04 11:59:43,2023-01-04,2023-01-04 19:59:43 +0000,Catharus guttatus,Hermit Thrush
146872453,2023-01-18 10:26:21-08:00,2023-01-18,2023-01-18 18:26:21 +0000,Campylorhynchus brunneicapillus,Cactus Wren
146936260,2022-03-07 12:27:59-06:00,2022-03-07,2022-03-07 18:27:59 +0000,Aphelocoma californica,California Scrub-Jay
147061567,2022-03-06 12:24:37-05:00,2022-03-06,2022-03-06 17:24:37 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147200445,2023-01-20 15:09:12-08:00,2023-01-20,2023-01-20 23:09:12 +0000,Pipilo maculatus,Spotted Towhee
147200458,2023-01-20 14:58:27-08:00,2023-01-20,2023-01-20 22:58:27 +0000,Polioptila melanura,Black-tailed Gnatcatcher
147206554,2023-01-20 16:58:19-08:00,2023-01-20,2023-01-21 00:58:19 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147206658,2023-01-21 10:03:49-08:00,2023-01-21,2023-01-21 18:03:49 +0000,Aphelocoma californica,California Scrub-Jay
147206733,2023-01-21 10:06:54-08:00,2023-01-21,2023-01-21 18:06:54 +0000,Melozone crissalis,California Towhee
147219207,2023/01/02 3:49 PM,2023-01-02,2023-01-02 23:49:00 +0000,Sialia currucoides,Mountain Bluebird
147224971,2023-01-21 14:44:13-08:00,2023-01-21,2023-01-21 22:44:13 +0000,Corvus corax,Common Raven
147226427,2023-01-22 08:58:29-08:00,2023-01-22,2023-01-22 16:58:29 +0000,Thryomanes bewickii,Bewick's Wren
147226564,2023-01-22 10:27:20-08:00,2023-01-22,2023-01-22 18:27:20 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147439886,2010/04/22 8:58 AM,2010-04-22,2010-04-22 15:58:00 +0000,Spinus psaltria,Lesser Goldfinch
147439924,2010/04/22 9:05 AM,2010-04-22,2010-04-22 16:05:00 +0000,Calypte anna,Anna's Hummingbird
147440011,2010/04/22 10:50 AM,2010-04-22,2010-04-22 17:50:00 +0000,Calypte costae,Costa's Hummingbird
147440035,2010/04/22 10:56 AM,2010-04-22,2010-04-22 17:56:00 +0000,Amphispiza bilineata,Black-throated Sparrow
147444078,2023-01-22 11:56:00,2023-01-22,2023-01-22 19:56:00 +0000,Corvus corax,Common Raven
147446359,2014/12/15 3:17 PM,2014-12-15,2014-12-15 23:17:00 +0000,Aphelocoma californica,California Scrub-Jay
147545054,2023-01-24 14:18:40,2023-01-24,2023-01-24 22:18:40 +0000,Sayornis saya,Say's Phoebe
147554370,2023-01-25 11:06:50,2023-01-25,2023-01-25 19:06:50 +0000,Calypte anna,Anna's Hummingbird
147555553,2023/01/27 12:30 PM,2023-01-27,2023-01-27 20:30:00 +0000,Turdus migratorius,American Robin
147563241,2023-01-28 10:51:29-08:00,2023-01-28,2023-01-28 18:51:29 +0000,Catherpes mexicanus,Canyon Wren
147651292,2023-01-29 11:43:25-08:00,2023-01-29,2023-01-29 19:43:25 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147651625,2023-01-29 11:49:42-08:00,2023-01-29,2023-01-29 19:49:42 +0000,Salpinctes obsoletus,Rock Wren
147682195,2016/12/03 2:18 PM,2016-12-03,2016-12-03 22:18:00 +0000,Aphelocoma californica,California Scrub-Jay
147738423,2023-01-30 11:04:38,2023-01-30,2023-01-30 19:04:38 +0000,Lanius ludovicianus,Loggerhead Shrike
147739258,2023-01-30 13:20:33,2023-01-30,2023-01-30 21:20:33 +0000,Buteo jamaicensis,Red-tailed Hawk
147789479,2023-01-28 11:40:58-08:00,2023-01-28,2023-01-28 19:40:58 +0000,Aphelocoma californica,California Scrub-Jay
147790922,2023-01-25 14:01:55,2023-01-25,2023-01-25 22:01:55 +0000,Amphispiza bilineata,Black-throated Sparrow
147792809,2023-01-28 11:36:54-08:00,2023-01-28,2023-01-28 19:36:54 +0000,Lanius ludovicianus,Loggerhead Shrike
147817701,2023-01-28 10:59:49-08:00,2023-01-28,2023-01-28 18:59:49 +0000,Calypte anna,Anna's Hummingbird
147817711,2023-01-28 10:56:57-08:00,2023-01-28,2023-01-28 18:56:57 +0000,Aphelocoma californica,California Scrub-Jay
147817837,2023-01-28 10:36:34-08:00,2023-01-28,2023-01-28 18:36:34 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147817858,2023-01-28 10:34:31-08:00,2023-01-28,2023-01-28 18:34:31 +0000,Pipilo maculatus,Spotted Towhee
147817908,2023-01-28 10:35:52-08:00,2023-01-28,2023-01-28 18:35:52 +0000,Aphelocoma californica,California Scrub-Jay
147817942,2023-01-28 10:38:26-08:00,2023-01-28,2023-01-28 18:38:26 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147848213,2023-01-28 09:34:32-08:00,2023-01-28,2023-01-28 17:34:32 +0000,Zonotrichia leucophrys,White-crowned Sparrow
147848297,2023-01-28 09:24:33-08:00,2023-01-28,2023-01-28 17:24:33 +0000,Dryobates scalaris,Ladder-backed Woodpecker
147860958,2023-01-28 10:10:47-08:00,2023-01-28,2023-01-28 18:10:47 +0000,Junco hyemalis,Dark-eyed Junco
147891129,2023-01-31 10:58:49,2023-01-31,2023-01-31 18:58:49 +0000,Dryobates scalaris,Ladder-backed Woodpecker
148209616,2023/02/06 9:56 AM,2023-02-06,2023-02-06 17:56:00 +0000,Sialia currucoides,Mountain Bluebird
148210205,2023/02/06 10:26 AM,2023-02-06,2023-02-06 18:26:00 +0000,Sialia currucoides,Mountain Bluebird
148210207,2023/02/06 10:33 AM,2023-02-06,2023-02-06 18:33:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148210210,2023/02/06 10:37 AM,2023-02-06,2023-02-06 18:37:00 +0000,Amphispiza bilineata,Black-throated Sparrow
148210212,2023/02/06 10:40 AM,2023-02-06,2023-02-06 18:40:00 +0000,Dryobates scalaris,Ladder-backed Woodpecker
148210213,2023/02/06 10:41 AM,2023-02-06,2023-02-06 18:41:00 +0000,Salpinctes obsoletus,Rock Wren
148210384,2023/02/06 12:07 PM,2023-02-06,2023-02-06 20:07:00 +0000,Buteo jamaicensis,Red-tailed Hawk
148479305,2023/02/07 1:43 PM,2023-02-07,2023-02-07 21:43:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148479306,2023/02/07 1:55 PM,2023-02-07,2023-02-07 21:55:00 +0000,Aphelocoma californica,California Scrub-Jay
148479307,2023/02/07 1:56 PM,2023-02-07,2023-02-07 21:56:00 +0000,Aphelocoma californica,California Scrub-Jay
148479308,2023/02/07 2:10 PM,2023-02-07,2023-02-07 22:10:00 +0000,Callipepla gambelii,Gambel's Quail
148479316,2023/02/07 3:20 PM,2023-02-07,2023-02-07 23:20:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148479317,2023/02/07 3:20 PM,2023-02-07,2023-02-07 23:20:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148479318,2023/02/08 9:46 AM,2023-02-08,2023-02-08 17:46:00 +0000,Aphelocoma californica,California Scrub-Jay
148479321,2023/02/08 10:12 AM,2023-02-08,2023-02-08 18:12:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148479331,2023/02/08 11:08 AM,2023-02-08,2023-02-08 19:08:00 +0000,Aphelocoma californica,California Scrub-Jay
148479342,2023/02/08 1:24 PM,2023-02-08,2023-02-08 21:24:00 +0000,Junco hyemalis,Dark-eyed Junco
148479351,2023/02/08 3:05 PM,2023-02-08,2023-02-08 23:05:00 +0000,Amphispiza bilineata,Black-throated Sparrow
148479352,2023/02/08 4:11 PM,2023-02-08,2023-02-09 00:11:00 +0000,Streptopelia decaocto,Eurasian Collared-Dove
148551479,2017/04/12 11:25 PM,2017-04-12,2017-04-13 06:25:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
148571558,2023-02-11 12:13:28,2023-02-11,2023-02-11 20:13:28 +0000,Phainopepla nitens,Phainopepla
148577348,2023-02-11 15:43:49-08:00,2023-02-11,2023-02-11 23:43:49 +0000,Sialia currucoides,Mountain Bluebird
148584333,2023-02-09 10:15:35,2023-02-09,2023-02-09 18:15:35 +0000,Sialia mexicana,Western Bluebird
148648205,Sun Feb 12 2023 15:25:33 GMT-0800 (PST),2023-02-12,2023-02-12 23:25:33 +0000,Auriparus flaviceps,Verdin
148648405,Sun Feb 12 2023 15:27:41 GMT-0800 (PST),2023-02-12,2023-02-12 23:27:41 +0000,Salpinctes obsoletus,Rock Wren
148648643,Sun Feb 12 2023 15:29:40 GMT-0800 (PST),2023-02-12,2023-02-12 23:29:40 +0000,Sialia currucoides,Mountain Bluebird
148649084,Sun Feb 12 2023 15:33:46 GMT-0800 (PST),2023-02-12,2023-02-12 23:33:46 +0000,Campylorhynchus brunneicapillus,Cactus Wren
148650709,Sun Feb 12 2023 15:59:16 GMT-0800 (PST),2023-02-12,2023-02-12 23:59:16 +0000,Polioptila melanura,Black-tailed Gnatcatcher
148656279,2023/02/11 4:56 PM,2023-02-11,2023-02-12 00:56:00 +0000,Myadestes townsendi,Townsend's Solitaire
148657943,2023/02/12 3:21 PM,2023-02-12,2023-02-12 23:21:00 +0000,Sialia currucoides,Mountain Bluebird
148657946,2023/02/12 3:09 PM,2023-02-12,2023-02-12 23:09:00 +0000,Sialia currucoides,Mountain Bluebird
148657949,2023/02/12 2:59 PM,2023-02-12,2023-02-12 22:59:00 +0000,Turdus migratorius,American Robin
148657950,2023/02/12 1:13 PM,2023-02-12,2023-02-12 21:13:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
148661745,2023-01-24 12:29:00-08:00,2023-01-24,2023-01-24 20:29:00 +0000,Calypte anna,Anna's Hummingbird
148674674,2023-02-05 16:19:23-08:00,2023-02-05,2023-02-06 00:19:23 +0000,Aphelocoma californica,California Scrub-Jay
148682320,2023-02-12 12:27:19,2023-02-12,2023-02-12 20:27:19 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148682816,2023-02-12 10:23:56,2023-02-12,2023-02-12 18:23:56 +0000,Corvus corax,Common Raven
148725510,2023/02/13 10:57 AM,2023-02-13,2023-02-13 18:57:00 +0000,Aphelocoma californica,California Scrub-Jay
148730640,2023/02/13 12:54 PM,2023-02-13,2023-02-13 20:54:00 +0000,Calypte costae,Costa's Hummingbird
148730641,2023/02/13 11:49 AM,2023-02-13,2023-02-13 19:49:00 +0000,Colaptes auratus,Northern Flicker
148730644,2023/02/13 12:05 PM,2023-02-13,2023-02-13 20:05:00 +0000,Mimus polyglottos,Northern Mockingbird
148730645,2023/02/13 11:54 AM,2023-02-13,2023-02-13 19:54:00 +0000,Phainopepla nitens,Phainopepla
148741286,2023-02-13 15:31:37-08:00,2023-02-13,2023-02-13 23:31:37 +0000,Toxostoma redivivum,California Thrasher
148741352,2023-02-13 16:01:38-08:00,2023-02-13,2023-02-14 00:01:38 +0000,Buteo jamaicensis,Red-tailed Hawk
148763018,2023/02/13 2:15 PM,2023-02-13,2023-02-13 22:15:00 +0000,Sialia currucoides,Mountain Bluebird
148765361,2023/02/13 10:50 AM,2023-02-13,2023-02-13 18:50:00 +0000,Junco hyemalis,Dark-eyed Junco
148789019,2023/02/13 8:52 AM,2023-02-13,2023-02-13 16:52:00 +0000,Salpinctes obsoletus,Rock Wren
148789403,2023/02/13 8:45 AM,2023-02-13,2023-02-13 16:45:00 +0000,Corvus corax,Common Raven
148790075,2023/02/13 10:05 AM,2023-02-13,2023-02-13 18:05:00 +0000,Sayornis saya,Say's Phoebe
148790654,2023/02/13 1:14 PM,2023-02-13,2023-02-13 21:14:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
148794670,2023/02/14 10:56 AM,2023-02-14,2023-02-14 18:56:00 +0000,Calypte anna,Anna's Hummingbird
148794671,2023/02/14 11:20 AM,2023-02-14,2023-02-14 19:20:00 +0000,Sayornis saya,Say's Phoebe
148794672,2023/02/14 11:26 AM,2023-02-14,2023-02-14 19:26:00 +0000,Salpinctes obsoletus,Rock Wren
148864862,2023/02/15 8:50 AM,2023-02-15,2023-02-15 16:50:00 +0000,Callipepla gambelii,Gambel's Quail
148865581,2023/02/15 12:17 PM,2023-02-15,2023-02-15 20:17:00 +0000,Lanius ludovicianus,Loggerhead Shrike
148936826,2023/02/16 11:20 AM,2023-02-16,2023-02-16 19:20:00 +0000,Lanius ludovicianus,Loggerhead Shrike
148952160,2023-02-16 09:09:35-08:00,2023-02-16,2023-02-16 17:09:35 +0000,Salpinctes obsoletus,Rock Wren
148991821,2022-04-09 09:49:59,2022-04-09,2022-04-09 16:49:59 +0000,Cathartes aura,Turkey Vulture
149004685,2023/02/17 1:48 PM,2023-02-17,2023-02-17 21:48:00 +0000,Melozone crissalis,California Towhee
149004686,2023/02/17 2:46 PM,2023-02-17,2023-02-17 22:46:00 +0000,Amphispiza bilineata,Black-throated Sparrow
149004857,2015-03-21 14:45:02,2015-03-21,2015-03-21 21:45:02 +0000,Phainopepla nitens,Phainopepla
149008752,2023-02-17 17:05:40-05:00,2023-02-17,2023-02-17 22:05:40 +0000,Buteo jamaicensis,Red-tailed Hawk
149008971,2023-02-17 18:09:00-05:00,2023-02-17,2023-02-17 23:09:00 +0000,Corvus corax,Common Raven
149016904,2023-02-17 16:15:39-05:00,2023-02-17,2023-02-17 21:15:39 +0000,Aphelocoma californica,California Scrub-Jay
149016960,2023-02-17 16:30:19-05:00,2023-02-17,2023-02-17 21:30:19 +0000,Falco mexicanus,Prairie Falcon
149046320,2022-06-13 09:33:35-07:00,2022-06-13,2022-06-13 16:33:35 +0000,Amphispiza bilineata,Black-throated Sparrow
149046507,2022-06-13 09:47:25-07:00,2022-06-13,2022-06-13 16:47:25 +0000,Amphispiza bilineata,Black-throated Sparrow
149046840,2022-06-13 11:50:11-07:00,2022-06-13,2022-06-13 18:50:11 +0000,Sayornis saya,Say's Phoebe
149047208,2022-06-14 10:37:44-07:00,2022-06-14,2022-06-14 17:37:44 +0000,Dryobates scalaris,Ladder-backed Woodpecker
149060501,2022/05/04 6:09 PM,2022-05-04,2022-05-05 01:09:00 +0000,Sitta canadensis,Red-breasted Nuthatch
149069897,2023-02-17 13:03:48-08:00,2023-02-17,2023-02-17 21:03:48 +0000,Aphelocoma californica,California Scrub-Jay
149087009,2023-02-17 08:51:49-08:00,2023-02-17,2023-02-17 16:51:49 +0000,Corthylio calendula,Ruby-crowned Kinglet
149107343,2023-02-18 13:51:01-05:00,2023-02-18,2023-02-18 18:51:01 +0000,Campylorhynchus brunneicapillus,Cactus Wren
149107850,2023-02-18 13:51:56-05:00,2023-02-18,2023-02-18 18:51:56 +0000,Amphispiza bilineata,Black-throated Sparrow
149109034,2023-02-18 14:40:43-05:00,2023-02-18,2023-02-18 19:40:43 +0000,Phainopepla nitens,Phainopepla
149109071,2023-02-18 14:35:02-05:00,2023-02-18,2023-02-18 19:35:02 +0000,Calypte anna,Anna's Hummingbird
149109531,2023-02-18 14:57:06-05:00,2023-02-18,2023-02-18 19:57:06 +0000,Amphispiza bilineata,Black-throated Sparrow
149109544,2023-02-18 14:51:03-05:00,2023-02-18,2023-02-18 19:51:03 +0000,Calypte anna,Anna's Hummingbird
149139851,2022/07/15 7:47 PM,2022-07-15,2022-07-16 02:47:00 +0000,Amphispiza bilineata,Black-throated Sparrow
149142478,2023-02-18 16:47:36-05:00,2023-02-18,2023-02-18 21:47:36 +0000,Buteo jamaicensis,Red-tailed Hawk
149196845,2023-02-19 18:11:32,2023-02-19,2023-02-20 02:11:32 +0000,Aphelocoma californica,California Scrub-Jay
149200226,2023-02-19 18:32:11-05:00,2023-02-19,2023-02-19 23:32:11 +0000,Spizella breweri,Brewer's Sparrow
149200275,2023-02-19 18:31:44-05:00,2023-02-19,2023-02-19 23:31:44 +0000,Salpinctes obsoletus,Rock Wren
149202168,2023-02-19 12:49:25-08:00,2023-02-19,2023-02-19 20:49:25 +0000,Calypte costae,Costa's Hummingbird
149202977,2023-02-19 18:33:16-05:00,2023-02-19,2023-02-19 23:33:16 +0000,Amphispiza bilineata,Black-throated Sparrow
149203104,2023-02-19 18:19:37-05:00,2023-02-19,2023-02-19 23:19:37 +0000,Corvus corax,Common Raven
149207029,2023-02-18 16:29:24-08:00,2023-02-18,2023-02-19 00:29:24 +0000,Salpinctes obsoletus,Rock Wren
149208658,2023-02-19 09:51:03,2023-02-19,2023-02-19 17:51:03 +0000,Sialia currucoides,Mountain Bluebird
149208888,2023-02-19 09:26:39,2023-02-19,2023-02-19 17:26:39 +0000,Amphispiza bilineata,Black-throated Sparrow
149208960,2023-02-19 10:49:03,2023-02-19,2023-02-19 18:49:03 +0000,Phainopepla nitens,Phainopepla
149233719,2023-02-18 09:37:41-08:00,2023-02-18,2023-02-18 17:37:41 +0000,Buteo jamaicensis,Red-tailed Hawk
149251897,2023/02/19 11:16 AM,2023-02-19,2023-02-19 19:16:00 +0000,Phainopepla nitens,Phainopepla
149263692,2023-02-19 12:53:44-08:00,2023-02-19,2023-02-19 20:53:44 +0000,Phainopepla nitens,Phainopepla
149279596,2023-02-19 11:45:12-08:00,2023-02-19,2023-02-19 19:45:12 +0000,Amphispiza bilineata,Black-throated Sparrow
149297537,2023/02/20 7:47 AM,2023-02-20,2023-02-20 15:47:00 +0000,Salpinctes obsoletus,Rock Wren
149297561,2023/02/20 8:41 AM,2023-02-20,2023-02-20 16:41:00 +0000,Amphispiza bilineata,Black-throated Sparrow
149297565,2023/02/20 9:02 AM,2023-02-20,2023-02-20 17:02:00 +0000,Aphelocoma californica,California Scrub-Jay
149297566,2023/02/20 9:03 AM,2023-02-20,2023-02-20 17:03:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
